t_us,t_s,t_rel,ax,ay,az,gx,gy,gz
1228393110,1228.393110,0.942820,0.570,0.020,0.940,11.910,2.030,1.470
1228399110,1228.399110,0.948820,0.560,0.010,0.940,11.850,2.270,1.280
1228405137,1228.405137,0.954847,0.550,0.010,0.950,11.970,2.050,1.300
1228411111,1228.411111,0.960821,0.560,0.010,0.940,12.060,2.110,1.240
1228417280,1228.417280,0.966990,0.570,0.010,0.950,11.740,2.110,1.310
1228423178,1228.423178,0.972888,0.570,0.020,0.940,11.860,2.260,1.420
1228434190,1228.434190,0.983900,0.560,0.010,0.940,11.890,2.230,1.270
1228453206,1228.453206,1.002916,0.560,0.010,0.940,11.850,2.200,1.390
1228459699,1228.459699,1.009409,0.570,0.010,0.940,11.790,2.120,1.480
1228466168,1228.466168,1.015878,0.570,0.010,0.950,11.950,2.090,1.400
1228472181,1228.472181,1.021891,0.560,0.010,0.940,12.050,1.980,1.390
1228480349,1228.480349,1.030059,0.570,0.010,0.940,11.820,2.140,1.370
1228488195,1228.488195,1.037905,0.560,0.020,0.940,11.940,2.140,1.340
1228494112,1228.494112,1.043822,0.570,0.010,0.950,12.030,2.120,1.280
1228502372,1228.502372,1.052082,0.560,0.010,0.940,11.760,2.120,1.400
1228508169,1228.508169,1.057879,0.560,0.010,0.950,11.950,2.060,1.240
1228514453,1228.514453,1.064163,0.560,0.010,0.940,11.850,2.170,1.250
1228521171,1228.521171,1.070881,0.560,0.010,0.950,11.820,2.140,1.470
1228527166,1228.527166,1.076876,0.570,0.010,0.950,11.890,2.240,1.310
1228533224,1228.533224,1.082934,0.560,0.010,0.940,11.980,2.150,1.310
1228542382,1228.542382,1.092092,0.560,0.010,0.950,11.830,2.200,1.480
1228549159,1228.549159,1.098869,0.560,0.010,0.940,11.940,2.260,1.300
1228556177,1228.556177,1.105887,0.560,0.010,0.940,12.020,2.050,1.300
1228562248,1228.562248,1.111958,0.560,0.010,0.950,11.950,2.200,1.440
1228568294,1228.568294,1.118004,0.570,0.010,0.940,12.050,2.210,1.560
1228575195,1228.575195,1.124905,0.560,0.010,0.950,12.080,2.170,1.450
1228581187,1228.581187,1.130897,0.560,0.010,0.950,11.890,2.120,1.370
1228588631,1228.588631,1.138341,0.560,0.010,0.950,11.790,2.260,1.360
1228595156,1228.595156,1.144866,0.570,0.010,0.940,11.880,1.980,1.240
1228601193,1228.601193,1.150903,0.560,0.010,0.950,11.850,2.140,1.370
1228607209,1228.607209,1.156919,0.570,0.010,0.950,11.880,2.150,1.360
1228613162,1228.613162,1.162872,0.560,0.010,0.940,12.020,2.030,1.220
1228619182,1228.619182,1.168892,0.560,0.010,0.940,11.830,2.180,1.300
1228625571,1228.625571,1.175281,0.560,0.020,0.930,11.880,1.910,1.440
1228635063,1228.635063,1.184773,0.560,0.010,0.940,12.080,2.080,1.510
1228641217,1228.641217,1.190927,0.570,0.010,0.940,12.020,2.180,1.220
1228648157,1228.648157,1.197867,0.560,0.020,0.940,11.940,2.080,1.360
1228654131,1228.654131,1.203841,0.560,0.010,0.940,11.970,2.260,1.270
1228660339,1228.660339,1.210049,0.560,0.020,0.950,11.980,2.060,1.370
1228667145,1228.667145,1.216855,0.560,0.020,0.950,11.800,2.140,1.360
1228674779,1228.674779,1.224489,0.570,0.010,0.940,11.890,2.200,1.220
1228681807,1228.681807,1.231517,0.560,0.010,0.940,11.890,2.090,1.420
1228688166,1228.688166,1.237876,0.560,0.010,0.940,11.940,2.140,1.530
1228694135,1228.694135,1.243845,0.560,0.010,0.940,11.860,2.090,1.310
1228700577,1228.700577,1.250287,0.560,0.020,0.940,12.020,2.020,1.330
1228708178,1228.708178,1.257888,0.550,0.020,0.940,11.980,2.140,1.280
1228714454,1228.714454,1.264164,0.560,0.010,0.940,11.880,2.060,1.340
1228725192,1228.725192,1.274902,0.560,0.010,0.940,12.050,2.080,1.280
1228731166,1228.731166,1.280876,0.560,0.010,0.950,11.850,2.150,1.220
1228737194,1228.737194,1.286904,0.560,0.010,0.950,11.830,2.200,1.330
1228743940,1228.743940,1.293650,0.560,0.010,0.950,11.890,2.140,1.250
1228750137,1228.750137,1.299847,0.560,0.020,0.940,11.760,2.200,1.440
1228756478,1228.756478,1.306188,0.560,0.020,0.950,11.830,2.150,1.250
1228766175,1228.766175,1.315885,0.560,0.010,0.940,11.890,2.210,1.270
1228772164,1228.772164,1.321874,0.560,0.010,0.950,11.940,2.180,1.400
1228779880,1228.779880,1.329590,0.560,0.010,0.940,11.880,2.060,1.310
1228786932,1228.786932,1.336642,0.560,0.020,0.950,12.030,2.060,1.240
1228793204,1228.793204,1.342914,0.570,0.010,0.950,11.880,2.050,1.600
1228800220,1228.800220,1.349930,0.560,0.020,0.930,11.970,2.260,1.310
1228807842,1228.807842,1.357552,0.560,0.010,0.950,11.850,2.340,1.420
1228814168,1228.814168,1.363878,0.560,0.010,0.950,11.950,1.980,1.280
1228820169,1228.820169,1.369879,0.570,0.010,0.940,11.860,2.210,1.420
1228826903,1228.826903,1.376613,0.560,0.020,0.940,12.150,2.050,1.400
1228833183,1228.833183,1.382893,0.560,0.010,0.940,11.740,2.080,1.340
1228840021,1228.840021,1.389731,0.570,0.010,0.950,11.890,2.180,1.280
1228849501,1228.849501,1.399211,0.560,0.020,0.950,11.920,2.140,1.180
1228856188,1228.856188,1.405898,0.560,0.010,0.950,11.830,2.230,1.390
1228862230,1228.862230,1.411940,0.560,0.020,0.950,11.820,1.980,1.270
1228868142,1228.868142,1.417852,0.560,0.010,0.940,11.770,2.080,1.480
1228875334,1228.875334,1.425044,0.560,0.010,0.940,11.860,2.050,1.370
1228882208,1228.882208,1.431918,0.570,0.010,0.940,11.860,2.030,1.400
1228892353,1228.892353,1.442063,0.560,0.020,0.950,11.920,2.030,1.450
1228899181,1228.899181,1.448891,0.560,0.010,0.940,11.770,2.120,1.510
1228905155,1228.905155,1.454865,0.570,0.010,0.940,11.940,2.140,1.420
1228912177,1228.912177,1.461887,0.560,0.020,0.940,11.940,2.290,1.180
1228918162,1228.918162,1.467872,0.560,0.010,0.950,11.830,2.140,1.370
1228924176,1228.924176,1.473886,0.570,0.010,0.940,11.970,2.150,1.340
1228931211,1228.931211,1.480921,0.560,0.020,0.950,12.000,2.170,1.340
1228938351,1228.938351,1.488061,0.560,0.010,0.940,11.970,2.240,1.250
1228946308,1228.946308,1.496018,0.560,0.010,0.940,11.910,2.120,1.370
1228952400,1228.952400,1.502110,0.570,0.020,0.940,12.000,2.200,1.340
1228959181,1228.959181,1.508891,0.560,0.010,0.940,11.890,2.180,1.220
1228965314,1228.965314,1.515024,0.560,0.010,0.950,11.950,2.150,1.390
1228973188,1228.973188,1.522898,0.560,0.010,0.940,12.000,2.310,1.360
1228979565,1228.979565,1.529275,0.570,0.010,0.940,11.800,2.210,1.400
1228987182,1228.987182,1.536892,0.560,0.000,0.940,11.820,2.140,1.530
1228993201,1228.993201,1.542911,0.560,0.010,0.940,11.920,2.230,1.300
1228999154,1228.999154,1.548864,0.560,0.010,0.930,11.830,2.180,1.450
1229005122,1229.005122,1.554832,0.570,0.010,0.940,11.980,2.230,1.330
1229011886,1229.011886,1.561596,0.560,0.020,0.940,11.920,2.030,1.500
1229022205,1229.022205,1.571915,0.560,0.010,0.940,11.950,2.230,1.420
1229028160,1229.028160,1.577870,0.560,0.010,0.950,11.830,2.120,1.440
1229034277,1229.034277,1.583987,0.560,0.010,0.950,11.980,2.210,1.360
1229040188,1229.040188,1.589898,0.550,0.010,0.940,11.820,2.260,1.300
1229047182,1229.047182,1.596892,0.560,0.010,0.930,11.910,2.090,1.650
1229056214,1229.056214,1.605924,0.560,0.010,0.940,11.890,2.150,1.210
1229063184,1229.063184,1.612894,0.560,0.010,0.940,11.880,2.170,1.570
1229069159,1229.069159,1.618869,0.560,0.020,0.930,11.800,2.150,1.590
1229075164,1229.075164,1.624874,0.560,0.010,0.930,11.920,2.140,1.220
1229081158,1229.081158,1.630868,0.560,0.010,0.950,11.710,2.080,1.510
1229087168,1229.087168,1.636878,0.560,0.010,0.930,11.800,2.080,1.420
1229093142,1229.093142,1.642852,0.550,0.010,0.940,11.980,2.200,1.250
1229100375,1229.100375,1.650085,0.560,0.020,0.940,11.920,2.200,1.360
1229109174,1229.109174,1.658884,0.560,0.010,0.950,12.000,2.060,1.250
1229115159,1229.115159,1.664869,0.570,0.010,0.950,11.920,2.170,1.470
1229121174,1229.121174,1.670884,0.570,0.010,0.940,12.060,2.200,1.370
1229128079,1229.128079,1.677789,0.560,0.020,0.940,11.920,2.090,1.440
1229134416,1229.134416,1.684126,0.570,0.010,0.950,11.940,2.110,1.280
1229141555,1229.141555,1.691265,0.570,0.020,0.940,11.950,2.110,1.340
1229147196,1229.147196,1.696906,0.560,0.020,0.940,11.920,2.170,1.370
1229153193,1229.153193,1.702903,0.560,0.010,0.940,11.940,2.120,1.420
1229159580,1229.159580,1.709290,0.560,0.010,0.940,11.830,2.260,1.330
1229166160,1229.166160,1.715870,0.560,0.010,0.940,11.890,2.090,1.330
1229172294,1229.172294,1.722004,0.570,0.010,0.950,11.970,2.320,1.330
1229179169,1229.179169,1.728879,0.560,0.010,0.940,12.050,2.120,1.450
1229185167,1229.185167,1.734877,0.560,0.010,0.930,11.910,2.230,1.480
1229191195,1229.191195,1.740905,0.560,0.010,0.940,11.820,2.140,1.510
1229201355,1229.201355,1.751065,0.560,0.020,0.940,11.730,2.120,1.440
1229207140,1229.207140,1.756850,0.560,0.010,0.950,11.880,2.080,1.240
1229213433,1229.213433,1.763143,0.570,0.010,0.940,11.920,2.120,1.470
1229220191,1229.220191,1.769901,0.560,0.000,0.950,11.890,2.080,1.160
1229226154,1229.226154,1.775864,0.560,0.010,0.940,11.880,2.110,1.310
1229233200,1229.233200,1.782910,0.560,0.010,0.950,11.950,2.310,1.420
1229244194,1229.244194,1.793904,0.560,0.010,0.930,11.770,2.200,1.390
1229250180,1229.250180,1.799890,0.560,0.020,0.930,11.910,2.320,1.210
1229257195,1229.257195,1.806905,0.570,0.010,0.950,11.880,2.370,1.250
1229264162,1229.264162,1.813872,0.570,0.010,0.940,11.920,2.080,1.450
1229270176,1229.270176,1.819886,0.560,0.010,0.940,11.910,2.260,1.210
1229276282,1229.276282,1.825992,0.560,0.010,0.940,11.970,2.210,1.340
1229284324,1229.284324,1.834034,0.560,0.010,0.940,11.950,2.200,1.440
1229290155,1229.290155,1.839865,0.560,0.010,0.940,11.970,2.270,1.300
1229297175,1229.297175,1.846885,0.570,0.010,0.950,11.890,2.290,1.220
1229303239,1229.303239,1.852949,0.560,0.010,0.940,11.800,2.230,1.340
1229309142,1229.309142,1.858852,0.560,0.010,0.950,11.920,2.180,1.450
1229315893,1229.315893,1.865603,0.560,0.010,0.940,11.980,2.290,1.470
1229322191,1229.322191,1.871901,0.560,0.010,0.950,11.880,2.060,1.240
1229328167,1229.328167,1.877877,0.570,0.010,0.940,11.860,2.180,1.400
1229336676,1229.336676,1.886386,0.560,0.010,0.950,11.890,2.030,1.340
1229343779,1229.343779,1.893489,0.560,0.010,0.940,11.920,2.210,1.400
1229350325,1229.350325,1.900035,0.560,0.010,0.940,11.890,2.110,1.300
1229357604,1229.357604,1.907314,0.560,0.020,0.940,11.800,2.020,1.360
1229365320,1229.365320,1.915030,0.560,0.010,0.940,11.730,2.310,1.400
1229371459,1229.371459,1.921169,0.560,0.010,0.940,12.020,2.230,1.300
1229377864,1229.377864,1.927574,0.560,0.010,0.940,12.020,2.230,1.400
1229384242,1229.384242,1.933952,0.560,0.010,0.950,11.850,2.120,1.270
1229390131,1229.390131,1.939841,0.560,0.010,0.930,11.770,2.240,1.370
1229396120,1229.396120,1.945830,0.560,0.010,0.940,11.890,2.170,1.440
1229402515,1229.402515,1.952225,0.560,0.010,0.940,11.970,2.020,1.370
1229409290,1229.409290,1.959000,0.570,0.010,0.950,11.830,2.380,1.370
1229415147,1229.415147,1.964857,0.560,0.020,0.950,11.880,2.120,1.340
1229423914,1229.423914,1.973624,0.560,0.000,0.940,11.970,2.290,1.360
1229431161,1229.431161,1.980871,0.560,0.010,0.940,11.790,2.110,1.510
1229437145,1229.437145,1.986855,0.570,0.020,0.940,11.820,2.000,1.450
1229443117,1229.443117,1.992827,0.560,0.020,0.940,11.890,2.310,1.370
1229449113,1229.449113,1.998823,0.560,0.010,0.940,11.860,2.120,1.440
1229455210,1229.455210,2.004920,0.560,0.010,0.950,11.920,2.180,1.360
1229464293,1229.464293,2.014003,0.560,0.010,0.940,11.910,2.120,1.330
1229473182,1229.473182,2.022892,0.560,0.010,0.940,11.920,2.200,1.480
1229479161,1229.479161,2.028871,0.560,0.010,0.940,11.860,2.260,1.480
1229485141,1229.485141,2.034851,0.560,0.010,0.940,11.940,2.230,1.370
1229491114,1229.491114,2.040824,0.560,0.010,0.940,11.920,2.170,1.480
1229497115,1229.497115,2.046825,0.560,0.010,0.940,11.920,2.210,1.300
1229503175,1229.503175,2.052885,0.560,0.010,0.950,11.950,2.120,1.420
1229513493,1229.513493,2.063203,0.560,0.010,0.950,11.850,2.020,1.510
1229520627,1229.520627,2.070337,0.560,0.010,0.940,12.030,2.110,1.330
1229527176,1229.527176,2.076886,0.560,0.010,0.940,11.920,2.310,1.300
1229533137,1229.533137,2.082847,0.560,0.010,0.940,11.950,2.210,1.340
1229539129,1229.539129,2.088839,0.570,0.010,0.940,11.910,2.150,1.400
1229545132,1229.545132,2.094842,0.570,0.010,0.940,11.850,2.200,1.440
1229551176,1229.551176,2.100886,0.560,0.010,0.940,11.910,2.080,1.360
1229557199,1229.557199,2.106909,0.560,0.010,0.940,11.850,2.270,1.270
1229563543,1229.563543,2.113253,0.560,0.020,0.940,11.820,2.140,1.400
1229570625,1229.570625,2.120335,0.560,0.010,0.950,11.940,2.090,1.240
1229577173,1229.577173,2.126883,0.560,0.010,0.940,11.910,2.180,1.370
1229585174,1229.585174,2.134884,0.560,0.020,0.950,11.850,2.200,1.270
1229591167,1229.591167,2.140877,0.560,0.010,0.940,11.920,2.110,1.370
1229598171,1229.598171,2.147881,0.560,0.010,0.950,12.110,1.980,1.280
1229604152,1229.604152,2.153862,0.560,0.010,0.930,11.980,2.000,1.360
1229610179,1229.610179,2.159889,0.560,0.010,0.950,11.880,2.110,1.400
1229616234,1229.616234,2.165944,0.570,0.010,0.940,11.980,2.140,1.210
1229622137,1229.622137,2.171847,0.560,0.010,0.940,11.920,2.260,1.340
1229629529,1229.629529,2.179239,0.570,0.010,0.950,11.940,2.000,1.440
1229637891,1229.637891,2.187601,0.560,0.020,0.940,11.890,2.080,1.330
1229644165,1229.644165,2.193875,0.570,0.010,0.940,11.910,2.140,1.390
1229650719,1229.650719,2.200429,0.560,0.010,0.940,11.970,2.180,1.330
1229657198,1229.657198,2.206908,0.560,0.020,0.940,12.090,2.050,1.280
1229664523,1229.664523,2.214233,0.560,0.010,0.950,11.920,2.210,1.250
1229672265,1229.672265,2.221975,0.560,0.010,0.950,12.030,2.120,1.440
1229678165,1229.678165,2.227875,0.560,0.010,0.940,11.940,2.110,1.370
1229684175,1229.684175,2.233885,0.560,0.010,0.940,11.800,2.120,1.480
1229691170,1229.691170,2.240880,0.560,0.010,0.940,11.890,2.170,1.310
1229697161,1229.697161,2.246871,0.560,0.020,0.940,11.880,2.240,1.300
